Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(region_and_locality),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,SRA Study,Submitter_Id,tissue_type,Isolation_source
ERR1938093,OTHER,197,683219970,PRJEB20380,SAMEA103972805,453401567,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-08-28,public,"sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1998626,SAMEA103972805,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample19_1_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:57:00Z,1,SAMEA103972805,NJ4 - mobilome19,ERP022529,NJ4 - mobilome19,cecum,urban sewer
ERR1938094,OTHER,197,443986827,PRJEB20380,SAMEA103972805,288348100,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-08-28,public,"sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1998627,SAMEA103972805,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample19_2_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:56:00Z,1,SAMEA103972805,NJ4 - mobilome19,ERP022529,NJ4 - mobilome19,cecum,urban sewer
ERR1938095,OTHER,196,708208975,PRJEB20380,SAMEA103972806,476303230,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1998628,SAMEA103972806,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample20_1_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:56:00Z,1,SAMEA103972806,NJ6 -mobilome20,ERP022529,NJ6 -mobilome20,cecum,urban sewer
ERR1938096,OTHER,196,713855001,PRJEB20380,SAMEA103972806,476485804,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1998629,SAMEA103972806,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample20_4_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:56:00Z,1,SAMEA103972806,NJ6 -mobilome20,ERP022529,NJ6 -mobilome20,cecum,urban sewer
ERR1938097,OTHER,176,176,PRJEB20380,SAMEA103972806,26883,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1998630,SAMEA103972806,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample20_6_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:56:00Z,1,SAMEA103972806,NJ6 -mobilome20,ERP022529,NJ6 -mobilome20,cecum,urban sewer
ERR1938098,OTHER,199,78194447,PRJEB20380,SAMEA103972807,48665513,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2011-01-13,public,"fastq,run.zq,sra","s3,gs,ena,ncbi","s3.us-east-1,gs.US,ncbi.public,ena",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1998631,SAMEA103972807,Denmark,Europe,Denmark,Bispebjerg,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample22_3_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2022-07-17T06:55:00Z,2,SAMEA103972807,BI1 - mobilome22,ERP022529,BI1 - mobilome22,cecum,hospital sewer
ERR1938099,OTHER,199,754040386,PRJEB20380,SAMEA103972808,483246367,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2011-01-12,public,"run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1998632,SAMEA103972808,Denmark,Europe,Denmark,Bispebjerg,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample23_4_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:56:00Z,1,SAMEA103972808,BI2 - mobilome23,ERP022529,BI2 - mobilome23,cecum,hospital sewer
ERR1938100,OTHER,198,736156496,PRJEB20380,SAMEA103972810,478494256,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2010-11-04,public,"sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1998633,SAMEA103972810,Denmark,Europe,Denmark,Østerbro,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample6_1_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:55:00Z,1,SAMEA103972810,RH4 - mobilome6,ERP022529,RH4 - mobilome6,cecum,hospital sewer
ERR1938101,OTHER,198,646972840,PRJEB20380,SAMEA103972810,417473075,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2010-11-04,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1998634,SAMEA103972810,Denmark,Europe,Denmark,Østerbro,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample6_3_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:55:00Z,1,SAMEA103972810,RH4 - mobilome6,ERP022529,RH4 - mobilome6,cecum,hospital sewer
ERR1938102,OTHER,196,707032512,PRJEB20380,SAMEA103972811,473388059,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-03-23,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1998635,SAMEA103972811,uncalculated,uncalculated,Falkland Islands (Islas Malvinas),falkla,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample9_4_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:55:00Z,1,SAMEA103972811,FK3 - mobilome9,ERP022529,FK3 - mobilome9,cecum,
ERR1942514,OTHER,198,689399306,PRJEB20380,SAMEA103972802,454154075,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX2003047,SAMEA103972802,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:24:50Z,public,Illumina HiSeq 2000,Sample15_3_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:55:00Z,1,SAMEA103972802,NJ1 - mobilome15,ERP022529,NJ1 - mobilome15,cecum,urban sewer
ERR1942515,OTHER,199,740692566,PRJEB20380,SAMEA103972804,479139672,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX2003048,SAMEA103972804,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample18_1_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:55:00Z,1,SAMEA103972804,NJ3 - mobilome18,ERP022529,NJ3 - mobilome18,cecum,urban sewer
ERR1942516,OTHER,199,743457301,PRJEB20380,SAMEA103972804,468972576,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX2003049,SAMEA103972804,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample18_2_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:55:00Z,1,SAMEA103972804,NJ3 - mobilome18,ERP022529,NJ3 - mobilome18,cecum,urban sewer
ERR1942517,OTHER,197,683219970,PRJEB20380,SAMEA103972805,453401567,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-08-28,public,"run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX2003050,SAMEA103972805,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample19_1_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:54:00Z,1,SAMEA103972805,NJ4 - mobilome19,ERP022529,NJ4 - mobilome19,cecum,urban sewer
ERR1942518,OTHER,197,443986827,PRJEB20380,SAMEA103972805,288348100,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-08-28,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX2003051,SAMEA103972805,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample19_2_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:54:00Z,1,SAMEA103972805,NJ4 - mobilome19,ERP022529,NJ4 - mobilome19,cecum,urban sewer
ERR1942519,OTHER,196,713855001,PRJEB20380,SAMEA103972806,476485804,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX2003052,SAMEA103972806,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample20_4_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:54:00Z,1,SAMEA103972806,NJ6 -mobilome20,ERP022529,NJ6 -mobilome20,cecum,urban sewer
ERR1942520,OTHER,176,176,PRJEB20380,SAMEA103972806,26883,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX2003053,SAMEA103972806,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample20_6_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:54:00Z,1,SAMEA103972806,NJ6 -mobilome20,ERP022529,NJ6 -mobilome20,cecum,urban sewer
ERR1942521,OTHER,199,78194447,PRJEB20380,SAMEA103972807,48665513,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2011-01-13,public,"run.zq,sra,fastq","gs,ena,ncbi,s3","ena,ncbi.public,s3.us-east-1,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX2003054,SAMEA103972807,Denmark,Europe,Denmark,Bispebjerg,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample22_3_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2022-07-23T09:45:00Z,2,SAMEA103972807,BI1 - mobilome22,ERP022529,BI1 - mobilome22,cecum,hospital sewer
ERR1942522,OTHER,199,754040386,PRJEB20380,SAMEA103972808,483246367,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2011-01-12,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX2003055,SAMEA103972808,Denmark,Europe,Denmark,Bispebjerg,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample23_4_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:54:00Z,1,SAMEA103972808,BI2 - mobilome23,ERP022529,BI2 - mobilome23,cecum,hospital sewer
ERR1942523,OTHER,198,736156496,PRJEB20380,SAMEA103972810,478494256,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2010-11-04,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX2003056,SAMEA103972810,Denmark,Europe,Denmark,Østerbro,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample6_1_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:54:00Z,1,SAMEA103972810,RH4 - mobilome6,ERP022529,RH4 - mobilome6,cecum,hospital sewer
ERR1942524,OTHER,198,646972840,PRJEB20380,SAMEA103972810,417473075,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2010-11-04,public,"run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX2003057,SAMEA103972810,Denmark,Europe,Denmark,Østerbro,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample6_3_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:53:00Z,1,SAMEA103972810,RH4 - mobilome6,ERP022529,RH4 - mobilome6,cecum,hospital sewer
ERR1942525,OTHER,196,707032512,PRJEB20380,SAMEA103972811,473388059,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-03-23,public,"run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX2003058,SAMEA103972811,uncalculated,uncalculated,Falkland Islands (Islas Malvinas),falkla,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample9_4_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:53:00Z,1,SAMEA103972811,FK3 - mobilome9,ERP022529,FK3 - mobilome9,cecum,
